snapshot_id,collected_at,http_status,feed_status,entity_count,vehicle_count,feed_timestamp,response_bytes,duration_ms,error_message
1788862984984-lj0c27,2026-09-08T10:23:04.984Z,200,EMPTY,0,0,1788862939,15,686,
1788863045672-5aoctc,2026-09-08T10:24:05.672Z,200,EMPTY,0,0,1788862993,15,597,
1788863106270-3ipext,2026-09-08T10:25:06.270Z,200,EMPTY,0,0,1788863056,15,80,
1788863166351-yf64vx,2026-09-08T10:26:06.351Z,200,EMPTY,0,0,1788863110,15,161,
1788863226512-2wgg2y,2026-09-08T10:27:06.512Z,200,EMPTY,0,0,1788863222,15,390,
1788863286933-7pnxfr,2026-09-08T10:28:06.934Z,200,EMPTY,0,0,1788863279,15,215,
1788864507063-opwsss,2026-09-08T10:48:27.063Z,200,EMPTY,0,0,1788864471,15,269,
1789105439730-1bucpf,2026-09-11T05:43:59.730Z,200,EMPTY,0,0,1789105389,15,116,
1789105499849-uouqa7,2026-09-11T05:44:59.849Z,200,EMPTY,0,0,1789105444,15,71,
1789105559922-w3eeiv,2026-09-11T05:45:59.922Z,200,EMPTY,0,0,1789105501,15,210,
1789105620134-a9y1ni,2026-09-11T05:47:00.134Z,200,EMPTY,0,0,1789105614,15,68,
1789105680204-mg0s5b,2026-09-11T05:48:00.204Z,200,EMPTY,0,0,1789105672,15,63,
1789105740269-rew6dx,2026-09-11T05:49:00.270Z,200,EMPTY,0,0,1789105729,15,161,
1789105800434-i3th5l,2026-09-11T05:50:00.434Z,200,EMPTY,0,0,1789105729,15,72,
1789105860510-ixbc91,2026-09-11T05:51:00.510Z,200,EMPTY,0,0,1789105851,15,53,
1789105920567-5gp7qx,2026-09-11T05:52:00.567Z,200,EMPTY,0,0,1789105904,15,56,
1789105980625-0bn0c8,2026-09-11T05:53:00.625Z,200,EMPTY,0,0,1789105957,15,59,
